Timestamp,ms_time,name,line,level,ADC,dist,flag
13:59.0,1676,logger,31,INFO,5505,0.0122,0
13:59.0,1676,logger,31,INFO,5506,0.0128,0
13:59.0,1677,logger,31,INFO,5504,0.0116,0
13:59.0,1678,logger,31,INFO,5509,0.0146,0
13:59.1,1735,logger,31,INFO,5507,0.0134,0
13:59.1,1735,logger,31,INFO,5506,0.0128,0
13:59.1,1736,logger,31,INFO,5505,0.0122,0
13:59.1,1736,logger,31,INFO,5504,0.0116,0
13:59.1,1736,logger,31,INFO,5506,0.0128,0
13:59.1,1737,logger,31,INFO,5508,0.014,0
13:59.1,1795,logger,31,INFO,5505,0.0122,0
13:59.1,1796,logger,31,INFO,5507,0.0134,0
13:59.1,1797,logger,31,INFO,5506,0.0128,0
13:59.1,1797,logger,31,INFO,5507,0.0134,0
13:59.1,1798,logger,31,INFO,5506,0.0128,0
13:59.2,1857,logger,31,INFO,5504,0.0116,0
13:59.2,1857,logger,31,INFO,5506,0.0128,0
13:59.2,1858,logger,31,INFO,5506,0.0128,0
13:59.2,1858,logger,31,INFO,5506,0.0128,0
13:59.2,1858,logger,31,INFO,5507,0.0134,0
13:59.2,1859,logger,31,INFO,5506,0.0128,0
13:59.2,1918,logger,31,INFO,5508,0.014,0
13:59.2,1918,logger,31,INFO,5506,0.0128,0
13:59.2,1919,logger,31,INFO,5506,0.0128,0
13:59.2,1919,logger,31,INFO,5505,0.0122,0
13:59.2,1919,logger,31,INFO,5503,0.011,0
13:59.3,1975,logger,31,INFO,5506,0.0128,0
13:59.3,1975,logger,31,INFO,5504,0.0116,0
13:59.3,1975,logger,31,INFO,5504,0.0116,0
13:59.3,1976,logger,31,INFO,5506,0.0128,0
13:59.3,1977,logger,31,INFO,5505,0.0122,0
13:59.4,2027,logger,31,INFO,5506,0.0128,0
13:59.4,2027,logger,31,INFO,5506,0.0128,0
13:59.4,2028,logger,31,INFO,5502,0.0104,0
13:59.4,2028,logger,31,INFO,5506,0.0128,0
13:59.4,2028,logger,31,INFO,5506,0.0128,0
13:59.4,2090,logger,31,INFO,5507,0.0134,0
13:59.4,2091,logger,31,INFO,5504,0.0116,0
13:59.4,2091,logger,31,INFO,5504,0.0116,0
13:59.4,2092,logger,31,INFO,5507,0.0134,0
13:59.4,2092,logger,31,INFO,5506,0.0128,0
13:59.4,2092,logger,31,INFO,5505,0.0122,0
13:59.5,2152,logger,31,INFO,5504,0.0116,0
13:59.5,2152,logger,31,INFO,5502,0.0104,0
13:59.5,2152,logger,31,INFO,5506,0.0128,0
13:59.5,2153,logger,31,INFO,5503,0.011,0
13:59.5,2154,logger,31,INFO,5506,0.0128,0
13:59.5,2220,logger,31,INFO,5505,0.0122,0
13:59.5,2220,logger,31,INFO,5508,0.014,0
13:59.5,2220,logger,31,INFO,5506,0.0128,0
13:59.5,2220,logger,31,INFO,5504,0.0116,0
13:59.5,2221,logger,31,INFO,5505,0.0122,0
13:59.5,2221,logger,31,INFO,5503,0.011,0
13:59.7,2324,logger,31,INFO,5505,0.0122,0
13:59.7,2325,logger,31,INFO,5504,0.0116,0
13:59.7,2325,logger,31,INFO,5504,0.0116,0
13:59.7,2326,logger,31,INFO,5508,0.014,0
13:59.7,2326,logger,31,INFO,5506,0.0128,0
13:59.7,2326,logger,31,INFO,5506,0.0128,0
13:59.7,2327,logger,31,INFO,5503,0.011,0
13:59.7,2327,logger,31,INFO,5504,0.0116,0
13:59.7,2327,logger,31,INFO,5506,0.0128,0
13:59.8,2425,logger,31,INFO,5504,0.0116,0
13:59.8,2426,logger,31,INFO,5506,0.0128,0
13:59.8,2426,logger,31,INFO,5504,0.0116,0
13:59.8,2427,logger,31,INFO,5506,0.0128,0
13:59.8,2428,logger,31,INFO,5505,0.0122,0
13:59.8,2428,logger,31,INFO,5505,0.0122,0
13:59.8,2428,logger,31,INFO,5506,0.0128,0
13:59.8,2429,logger,31,INFO,5504,0.0116,0
13:59.8,2429,logger,31,INFO,5507,0.0134,0
13:59.8,2515,logger,31,INFO,5504,0.0116,0
13:59.8,2516,logger,31,INFO,5505,0.0122,0
13:59.8,2517,logger,31,INFO,5506,0.0128,0
13:59.8,2517,logger,31,INFO,5503,0.011,0
13:59.8,2517,logger,31,INFO,5508,0.014,0
13:59.8,2517,logger,31,INFO,5506,0.0128,0
13:59.8,2518,logger,31,INFO,5504,0.0116,0
13:59.8,2518,logger,31,INFO,5506,0.0128,0
13:59.9,2574,logger,31,INFO,5504,0.0116,0
13:59.9,2574,logger,31,INFO,5506,0.0128,0
13:59.9,2574,logger,31,INFO,5503,0.011,0
13:59.9,2575,logger,31,INFO,5505,0.0122,0
13:59.9,2576,logger,31,INFO,5506,0.0128,0
13:59.9,2576,logger,31,INFO,5505,0.0122,0
14:00.0,2632,logger,31,INFO,5507,0.0134,0
14:00.0,2632,logger,31,INFO,5503,0.011,0
14:00.0,2633,logger,31,INFO,5504,0.0116,0
14:00.0,2633,logger,31,INFO,5506,0.0128,0
14:00.0,2633,logger,31,INFO,5504,0.0116,0
14:00.1,2724,logger,31,INFO,5507,0.0134,0
14:00.1,2725,logger,31,INFO,5505,0.0122,0
14:00.1,2726,logger,31,INFO,5508,0.014,0
14:00.1,2726,logger,31,INFO,5505,0.0122,0
14:00.1,2726,logger,31,INFO,5505,0.0122,0
14:00.1,2727,logger,31,INFO,5505,0.0122,0
14:00.1,2727,logger,31,INFO,5504,0.0116,0
14:00.1,2813,logger,31,INFO,5508,0.014,0
14:00.1,2814,logger,31,INFO,5505,0.0122,0
14:00.1,2814,logger,31,INFO,5506,0.0128,0
14:00.1,2815,logger,31,INFO,5508,0.014,0
14:00.1,2815,logger,31,INFO,5506,0.0128,0
14:00.1,2816,logger,31,INFO,5508,0.014,0
14:00.2,2871,logger,31,INFO,5505,0.0122,0
14:00.2,2871,logger,31,INFO,5504,0.0116,0
14:00.2,2872,logger,31,INFO,5505,0.0122,0
14:00.2,2872,logger,31,INFO,5507,0.0134,0
14:00.2,2872,logger,31,INFO,5509,0.0146,0
14:00.2,2873,logger,31,INFO,5507,0.0134,0
14:00.2,2873,logger,31,INFO,5510,0.0152,0
14:00.2,2874,logger,31,INFO,5509,0.0146,0
14:00.3,2978,logger,31,INFO,5511,0.0158,0
14:00.3,2979,logger,31,INFO,5512,0.0165,0
14:00.3,2979,logger,31,INFO,5513,0.0171,0
14:00.3,2979,logger,31,INFO,5526,0.025,0
14:00.3,2980,logger,31,INFO,5527,0.0256,0
14:00.3,2980,logger,31,INFO,5537,0.0317,0
14:00.3,2981,logger,31,INFO,5541,0.0341,0
14:00.4,3046,logger,31,INFO,5546,0.0372,0
14:00.4,3047,logger,31,INFO,5557,0.0439,0
14:00.4,3047,logger,31,INFO,5560,0.0457,0
14:00.4,3047,logger,31,INFO,5569,0.0512,0
14:00.4,3048,logger,31,INFO,5571,0.0524,0
14:00.4,3048,logger,31,INFO,5577,0.0561,0
14:00.4,3048,logger,31,INFO,5589,0.0634,0
14:00.4,3049,logger,31,INFO,5591,0.0646,0
14:00.5,3130,logger,31,INFO,5601,0.0707,0
14:00.5,3131,logger,31,INFO,5604,0.0725,0
14:00.5,3131,logger,31,INFO,5616,0.0799,0
14:00.5,3131,logger,31,INFO,5617,0.0805,0
14:00.5,3132,logger,31,INFO,5621,0.0829,0
14:00.5,3132,logger,31,INFO,5638,0.0933,0
14:00.5,3132,logger,31,INFO,5647,0.0987,0
14:00.5,3133,logger,31,INFO,5674,0.1152,0
14:00.5,3206,logger,31,INFO,5690,0.125,0
14:00.5,3207,logger,31,INFO,5705,0.1341,0
14:00.5,3208,logger,31,INFO,5747,0.1597,0
14:00.5,3208,logger,31,INFO,5773,0.1756,0
14:00.5,3208,logger,31,INFO,5822,0.2054,0
14:00.5,3209,logger,31,INFO,5843,0.2182,0
14:00.6,3260,logger,31,INFO,5873,0.2365,0
14:00.6,3261,logger,31,INFO,5931,0.2719,0
14:00.6,3261,logger,31,INFO,5955,0.2865,0
14:00.6,3261,logger,31,INFO,6020,0.3261,0
14:00.6,3262,logger,31,INFO,6051,0.345,0
14:00.6,3262,logger,31,INFO,6086,0.3663,0
14:00.6,3317,logger,31,INFO,6159,0.4108,0
14:00.6,3318,logger,31,INFO,6198,0.4346,0
14:00.6,3318,logger,31,INFO,6286,0.4882,0
14:00.6,3319,logger,31,INFO,6337,0.5193,0
14:00.6,3319,logger,31,INFO,6446,0.5858,0
14:00.7,3381,logger,31,INFO,6494,0.615,0
14:00.7,3382,logger,31,INFO,6557,0.6534,0
14:00.7,3383,logger,31,INFO,6682,0.7296,0
14:00.7,3383,logger,31,INFO,6742,0.7662,0
14:00.7,3383,logger,31,INFO,6883,0.8522,0
14:00.8,3444,logger,31,INFO,6963,0.9009,0
14:00.8,3445,logger,31,INFO,7023,0.9375,0
14:00.8,3445,logger,31,INFO,7184,1.0356,0
14:00.8,3445,logger,31,INFO,7277,1.0923,0
14:00.8,3446,logger,31,INFO,7449,1.1972,0
14:00.8,3446,logger,31,INFO,7525,1.2435,0
14:00.8,3499,logger,31,INFO,7639,1.313,0
14:00.8,3499,logger,31,INFO,7826,1.427,0
14:00.8,3500,logger,31,INFO,7896,1.4696,0
14:00.8,3500,logger,31,INFO,8079,1.5812,0
14:00.8,3500,logger,31,INFO,8189,1.6482,0
14:00.9,3549,logger,31,INFO,8264,1.6939,0
14:00.9,3550,logger,31,INFO,8451,1.8079,0
14:00.9,3550,logger,31,INFO,8569,1.8799,0
14:00.9,3550,logger,31,INFO,8753,1.992,0
14:00.9,3608,logger,31,INFO,8814,2.0292,0
14:00.9,3608,logger,31,INFO,9004,2.145,0
14:00.9,3608,logger,31,INFO,9121,2.2163,0
14:00.9,3609,logger,31,INFO,9188,2.2572,0
14:00.9,3609,logger,31,INFO,9374,2.3705,0
14:01.0,3704,logger,31,INFO,9504,2.4498,0
14:01.0,3704,logger,31,INFO,9690,2.5632,0
14:01.0,3705,logger,31,INFO,9745,2.5967,0
14:01.0,3705,logger,31,INFO,9869,2.6723,0
14:01.0,3706,logger,31,INFO,10059,2.7881,0
14:01.0,3707,logger,31,INFO,10103,2.8149,0
14:01.0,3707,logger,31,INFO,10281,2.9234,0
14:01.0,3707,logger,31,INFO,10407,3.0002,0
14:01.1,3770,logger,31,INFO,10452,3.0276,0
14:01.1,3770,logger,31,INFO,10633,3.138,0
14:01.1,3771,logger,31,INFO,10761,3.216,0
