21:07:06.809,7603,logger,31,INFO,-54.000, 403.000
21:07:06.928,7722,logger,31,INFO,-67.000, 413.000
21:07:06.987,7782,logger,31,INFO,-46.000, 395.000
21:07:07.113,7908,logger,31,INFO,-34.000, 381.000
21:07:07.166,7961,logger,31,INFO,-19.000, 369.000
21:07:07.282,8077,logger,31,INFO,5.000, 361.000
21:07:07.421,8216,logger,31,INFO,39.000, 354.000
21:07:07.478,8273,logger,31,INFO,63.000, 357.000
21:07:07.584,8379,logger,31,INFO,81.000, 359.000
21:07:07.701,8496,logger,31,INFO,93.000, 358.000
21:07:07.811,8606,logger,31,INFO,96.000, 361.000
21:07:07.929,8724,logger,31,INFO,103.000, 354.000
21:07:07.987,8782,logger,31,INFO,114.000, 349.000
21:07:08.119,8914,logger,31,INFO,128.000, 344.000
21:07:08.171,8966,logger,31,INFO,142.000, 335.000
21:07:08.282,9077,logger,31,INFO,167.000, 321.000
21:07:08.399,9194,logger,31,INFO,195.000, 309.000
21:07:08.458,9253,logger,31,INFO,216.000, 296.000
21:07:08.582,9377,logger,31,INFO,240.000, 287.000
21:07:08.693,9488,logger,31,INFO,264.000, 289.000
21:07:08.798,9593,logger,31,INFO,285.000, 293.000
21:07:08.855,9650,logger,31,INFO,302.000, 288.000
21:07:08.985,9780,logger,31,INFO,312.000, 289.000
21:07:09.093,9888,logger,31,INFO,318.000, 286.000
21:07:09.150,9945,logger,31,INFO,317.000, 283.000
21:07:09.262,10057,logger,31,INFO,324.000, 284.000
21:07:09.383,10178,logger,31,INFO,336.000, 284.000
21:07:09.494,10289,logger,31,INFO,349.000, 286.000
21:07:09.561,10356,logger,31,INFO,363.000, 288.000
21:07:09.673,10468,logger,31,INFO,371.000, 288.000
21:07:09.787,10582,logger,31,INFO,376.000, 287.000
21:07:09.902,10697,logger,31,INFO,377.000, 286.000
21:07:09.962,10757,logger,31,INFO,378.000, 285.000
21:07:10.079,10873,logger,31,INFO,378.000, 283.000
21:07:10.186,10981,logger,31,INFO,378.000, 283.000
21:07:10.303,11098,logger,31,INFO,379.000, 283.000
21:07:10.413,11208,logger,31,INFO,378.000, 285.000
21:07:10.526,11321,logger,31,INFO,375.000, 286.000
21:07:10.630,11425,logger,31,INFO,374.000, 286.000
21:07:10.741,11536,logger,31,INFO,373.000, 287.000
21:07:10.851,11646,logger,31,INFO,372.000, 286.000
21:07:10.918,11713,logger,31,INFO,371.000, 285.000
21:07:11.044,11839,logger,31,INFO,370.000, 284.000
21:07:11.152,11947,logger,31,INFO,370.000, 283.000
21:07:11.262,12057,logger,31,INFO,368.000, 281.000
21:07:11.322,12117,logger,31,INFO,366.000, 282.000
21:07:11.440,12235,logger,31,INFO,364.000, 281.000
21:07:11.551,12346,logger,31,INFO,364.000, 281.000
21:07:11.671,12465,logger,31,INFO,367.000, 284.000
21:07:11.789,12584,logger,31,INFO,369.000, 287.000
21:07:11.902,12697,logger,31,INFO,371.000, 293.000
21:07:11.973,12768,logger,31,INFO,370.000, 301.000
21:07:12.076,12871,logger,31,INFO,371.000, 303.000
