22:35:36.150,428,logger,31,INFO,543.90, 11.67, -791.72, 0.26, 0.05, -0.96, 0.01
22:35:37.490,1768,logger,31,INFO,568.44, 49.08, -767.55, 0.26, 0.05, -0.96, 0.01
22:35:37.617,1896,logger,31,INFO,571.35, 53.53, -764.68, 0.26, 0.05, -0.96, 0.01
22:35:37.631,1909,logger,31,INFO,571.64, 53.97, -764.39, 0.26, 0.05, -0.96, 0.01
22:35:37.646,1925,logger,31,INFO,571.94, 54.42, -764.10, 0.26, 0.05, -0.96, 0.01
22:35:37.661,1939,logger,31,INFO,572.23, 54.86, -763.82, 0.26, 0.05, -0.96, 0.01
22:35:37.678,1957,logger,31,INFO,572.52, 55.31, -763.53, 0.26, 0.05, -0.96, 0.01
22:35:37.696,1974,logger,31,INFO,572.81, 55.75, -763.24, 0.26, 0.05, -0.96, 0.01
22:35:37.722,2000,logger,31,INFO,573.40, 56.64, -762.66, 0.26, 0.05, -0.96, 0.01
22:35:37.753,2032,logger,31,INFO,573.98, 57.53, -762.09, 0.26, 0.05, -0.96, 0.01
22:35:37.796,2074,logger,31,INFO,574.86, 58.87, -761.23, 0.26, 0.05, -0.96, 0.01
22:35:37.817,2096,logger,31,INFO,575.15, 59.31, -760.94, 0.26, 0.05, -0.96, 0.01
22:35:37.834,2112,logger,31,INFO,575.44, 59.76, -760.65, 0.26, 0.05, -0.96, 0.01
22:35:37.874,2152,logger,31,INFO,576.02, 60.65, -760.08, 0.26, 0.05, -0.96, 0.01
22:35:37.918,2196,logger,31,INFO,576.90, 61.98, -759.22, 0.26, 0.05, -0.96, 0.01
22:35:37.938,2216,logger,31,INFO,577.19, 62.43, -758.93, 0.26, 0.05, -0.96, 0.01
22:35:37.959,2238,logger,31,INFO,577.48, 62.87, -758.64, 0.26, 0.05, -0.96, 0.01
22:35:37.980,2259,logger,31,INFO,577.77, 63.32, -758.35, 0.26, 0.05, -0.96, 0.01
22:35:38.013,2291,logger,31,INFO,578.36, 64.21, -757.78, 0.26, 0.05, -0.96, 0.01
22:35:38.028,2307,logger,31,INFO,578.65, 64.65, -757.49, 0.26, 0.05, -0.96, 0.01
22:35:38.047,2326,logger,31,INFO,578.94, 65.10, -757.20, 0.26, 0.05, -0.96, 0.01
22:35:38.065,2343,logger,31,INFO,579.23, 65.54, -756.92, 0.26, 0.05, -0.96, 0.01
22:35:38.111,2390,logger,31,INFO,580.11, 66.88, -756.05, 0.26, 0.05, -0.96, 0.01
22:35:38.127,2405,logger,31,INFO,580.40, 67.32, -755.77, 0.26, 0.05, -0.96, 0.01
22:35:38.188,2467,logger,31,INFO,581.58, 69.09, -754.62, 0.26, 0.05, -0.96, 0.01
22:35:38.205,2484,logger,31,INFO,581.91, 69.50, -754.34, 0.26, 0.05, -0.96, 0.01
22:35:38.265,2543,logger,31,INFO,583.41, 70.32, -753.55, 0.26, 0.05, -0.96, 0.01
22:35:38.318,2596,logger,31,INFO,584.05, 69.92, -752.92, 0.26, 0.05, -0.96, 0.01
22:35:38.336,2614,logger,31,INFO,584.12, 69.78, -752.80, 0.26, 0.05, -0.96, 0.01
22:35:38.355,2633,logger,31,INFO,584.14, 69.80, -752.68, 0.26, 0.05, -0.96, 0.01
22:35:38.396,2674,logger,31,INFO,584.29, 69.36, -752.46, 0.26, 0.05, -0.96, 0.01
22:35:38.411,2689,logger,31,INFO,584.29, 69.38, -752.47, 0.26, 0.05, -0.96, 0.01
22:35:38.443,2721,logger,31,INFO,584.43, 69.32, -752.48, 0.26, 0.05, -0.96, 0.01
